neighbourhood_group_cleansed,number_of_reviews
Ambars-et-Lagrave,904
Ambs,1714
Artigues-Prs-Bordeaux,2519
Bassens,488
Bgles,9599
Blanquefort,2161
Bordeaux,190852
Bouliac,2532
Bruges,3011
Carbon-Blanc,1038
Cenon,6484
Eysines,2824
Floirac,5696
Gradignan,4002
Le Bouscat,6257
Le Haillan,893
Le Taillan-Mdoc,1098
Lormont,3136
Martignas-sur-Jalle,968
Merignac,12829
Parempuyre,1641
Pessac,15127
Saint-Aubin-de-Mdoc,1199
Saint-Louis-de-Montferrand,161
Saint-Mdard-en-Jalles,5576
Saint-Vincent-de-Paul,812
Talence,13571
Villenave-d'Ornon,9264
